org,aug
"When searching for a Gastrobar, consider the price range to be moderate.","[IN:GET_RESTAURANTS When searching for a [SL:RESTAURANT_NAME Gastrobar], consider the [SL:PRICE_RANGE price range to be moderate]. ]"
Request Events in San Fran as your preferred city.,[IN:GET_EVENTS Request Events in [SL:CITY San Fran] as your preferred city. ]
Request a Doctor in San Jose.,[IN:GET_DOCTORS Request a Doctor in [SL:CITY San Jose].]
I prefer Santa Clara when I am searching for Restaurants.,[IN:GET_RESTAURANTS I prefer [SL:CITY Santa Clara] when I am searching for Restaurants.]
Choose Pasta cuisine and order alcoholic drinks.,[IN:GET_RESTAURANTS Choose [SL:CUISINE Pasta] cuisine and order [SL:SERVES_ALCOHOL alcoholic drinks].]
"If I'm getting my hair done, I want Alpha from Salon.","[IN:GET_SALONS If I'm getting my hair done, I want [SL:SALON_NAME Alpha] from Salon.]"
Search for homes in Palo Alto with one bedroom.,[IN:GET_HOMES Search for homes in [SL:ADDRESS Palo Alto] with [SL:NUMBER_OF_BEDS one] bedroom.]
I prefer Sacramento when I inquire about Events.,[IN:GET_EVENTS I prefer [SL:CITY Sacramento] when I inquire about Events. ]
"If the event type is Sports, search for soccer as the category.","[IN:GET_EVENTS If the event type is [SL:EVENT_TYPE Sports], search for [SL:CATEGORY soccer] as the category. ]"
"If you are picking up from SAN International Airport, search for a Standard car type.","[IN:GET_RENTALCARS If you are picking up from [SL:PICKUP_LOCATION SAN International Airport], search for a [SL:CAR_TYPE Standard] car type. ]"
"When it comes to restaurants, my go-to city is St. Helena.","[IN:GET_RESTAURANTS When it comes to restaurants, my go-to city is [SL:CITY St. Helena]. ]"
I would like San Leandro to be my city of choice when asking for Restaurants.,[IN:GET_RESTAURANTS I would like [SL:CITY San Leandro] to be my city of choice when asking for Restaurants. ]
Request 3D movies as your preferred show type.,[IN:GET_MOVIES Request [SL:SHOW_TYPE 3D movies] as your preferred show type.]
Request Blues as my preferred category for Events.,[IN:GET_EVENTS Request [SL:CATEGORY Blues] as my preferred category for Events. ]
"If I ask for Salon, my preferred stylist name is Atelier Salon Willow Glen or 1512 Barber Shop","[IN:GET_SALONS If I ask for Salon, my preferred stylist name is [SL:SALON_NAME Atelier Salon Willow Glen] or [SL:SALON_NAME 1512 Barber Shop]]"
"If you're in SD, search for the Best Western Mission Bay hotel.","[IN:GET_HOTELS If you're in [SL:LOCATION SD], search for the [SL:HOTEL_NAME Best Western Mission Bay] hotel. ]"
"If the event you're looking for is a sport, try looking for soccer as the category.","[IN:GET_EVENTS If the event you're looking for is a sport, try looking for [SL:EVENT_TYPE soccer] as the [SL:CATEGORY category].]"
"If I ask for Flights, my preferred origin city is San Fran","[IN:GET_FLIGHTS If I ask for Flights, my preferred [SL:ORIGIN origin city is San Fran] ]"
My favorite theater to go to for movies is Guild Theatre.,[IN:GET_MOVIES My favorite theater to go to for movies is [SL:THEATER_NAME Guild Theatre].]
I prefer to ask for Events in the city of DC.,[IN:GET_EVENTS I prefer to ask for Events in the [SL:CITY city of DC]. ]
If airlines is Delta Airlines then look for seating class as Economy,[IN:GET_FLIGHTS If [SL:AIRLINES airlines is Delta Airlines] then look for [SL:SEATING_CLASS seating class] as [SL:SEATING_CLASS Economy] ]
"If I'm looking for something to do, I like to check out what's going on in Las Vegas.","[IN:GET_EVENTS If I'm looking for something to do, I like to check out what's going on in [SL:CITY Las Vegas].]"
"Search for the category ""Pop"" if the event type is ""Music"".","[IN:GET_EVENTS Search for the [SL:CATEGORY category ""Pop""] if the [SL:EVENT_TYPE event type is ""Music""]. ]"
"If I ask for Salon, preferance is unisex, then stylist name as Atelier Salon Willow Glen","[IN:GET_SALONS If I ask for Salon, preference is [SL:IS_UNISEX unisex], then stylist name as [SL:STYLIST_NAME Atelier Salon Willow Glen]. ]"
"If Southwest Airlines is the airline, search for the seating class of Economy.","[IN:GET_FLIGHTS If [SL:AIRLINES Southwest Airlines] is the airline, search for the [SL:SEATING_CLASS seating class] of [SL:SEATING_CLASS Economy]. ]"
"If you're looking for ramen, check out places with moderate prices.","[IN:GET_RESTAURANTS If you're looking for [SL:CUISINE ramen], check out places with [SL:PRICE_RANGE moderate prices].]"
"If I'm looking for a restaurant that serves pasta and has a moderate price range, check to see if it serves alcohol.","[IN:GET_RESTAURANTS If I'm looking for a restaurant that serves [SL:CUISINE pasta] and has a [SL:PRICE_RANGE moderate price range], check to see if it [SL:SERVES_ALCOHOL serves alcohol].]"
I would like my preferred event name to be Aftershock Festival when I request Events.,[IN:GET_EVENTS I would like my preferred [SL:EVENT_NAME event name to be Aftershock Festival] when I request Events.]
I want to consider Travel and Buses when making my request.,[IN:GET_TRAVEL I want to consider Travel] and [IN:GET_BUSES Buses] when making my request.
Search for Afghan Village Restaurant if you are looking for Afghan cuisine.,[IN:GET_RESTAURANTS Search for [SL:RESTAURANT_NAME Afghan Village Restaurant] if you are looking for [SL:CUISINE Afghan cuisine]. ]
"If I'm looking for a hotel, my top choice is Best Western Mission Bay.","[IN:GET_HOTELS If I'm looking for a hotel, my top choice is [SL:HOTEL_NAME Best Western Mission Bay].]"
Request Movies with a Horror genre.,[IN:GET_MOVIES Request Movies with a [SL:GENRE Horror] genre.]
"Request Restaurants with cuisine as Cambodian, price range as expensive, and restaurant name as Kin Khao.","[IN:GET_RESTAURANTS Request Restaurants with [SL:CUISINE Cambodian], [SL:PRICE_RANGE expensive], and [SL:RESTAURANT_NAME Kin Khao]. ]"
Request RentalCars with a pickup location of SFO International Airport.,[IN:GET_RENTALCARS Request RentalCars with a pickup location of [SL:PICKUP_LOCATION SFO International Airport].]
Request Events for the city of Vegas.,[IN:GET_EVENTS Request Events for the [SL:CITY city of Vegas]. ]
"If I ask for Restaurants, my preferred price range is moderate or expensive","[IN:GET_RESTAURANTS If I ask for Restaurants, my preferred [SL:PRICE_RANGE price range is moderate or expensive ]. ]"
"If you're looking for a sports event, search for Cubs Vs Giants.","[IN:GET_EVENTS If you're looking for a sports event, search for [SL:EVENT_NAME Cubs Vs Giants]. ]"
"If you're looking for Korean food, you should expect to pay a moderate amount.","[IN:GET_RESTAURANTS If you're looking for [SL:CUISINE Korean food], you should expect to pay a [SL:PRICE_RANGE moderate amount]. ]"
"If I'm looking for a restaurant, I'm hoping to find one that serves pasta.","[IN:GET_RESTAURANTS If I'm looking for a restaurant, I'm hoping to find one that serves [SL:CUISINE pasta]. ]"
