org,aug
Request a Doctor from Los Altos.,[IN:GET_DOCTORS Request a Doctor from [SL:CITY Los Altos ]. ]
"If you're looking for an Izakaya, check to see if the prices are moderate.","[IN:GET_RESTAURANTS If you're looking for an [SL:CUISINE Izakaya ], check to see if the prices are [SL:PRICE_RANGE moderate ]. ]"
I would like Salon in El Cerrito as my city of choice.,[IN:GET_SALONS I would like Salon in [SL:CITY El Cerrito ] as my city of choice.]
"If I'm looking for a movie, my go-to theater is Century Daly City.","[IN:GET_MOVIES If I'm looking for a movie, my go-to theater is [SL:THEATER_NAME Century Daly City ]. ]"
I prefer pop music when I request Travel.,[IN:GET_TRAVEL [IN:GET_EVENTS I prefer [SL:CATEGORY pop ] music ] when I request Travel. ]
Request HouseStays for Seattle as your desired destination.,[IN:GET_HOUSE_STAYS Request HouseStays for [SL:WHERE_TO Seattle ] as your desired destination. ]
"When I'm looking for a restaurant, my favorite type of food is breakfast.","[IN:GET_RESTAURANTS When I'm looking for a restaurant, my favorite type of food is [SL:CUISINE breakfast ]. ]"
I would like to pick up my RentalCar from SAN International Airport.,[IN:GET_RENTAL_CARS I would like to pick up my RentalCar from [SL:PICKUP_LOCATION SAN International Airport ].]
Request Homes in Berkeley as your preferred area.,[IN:GET_HOMES Request Homes in [SL:AREA Berkeley] as your preferred area.]
"If I ask for Doctor, my preferred city is Sunnyvale","[IN:GET_DOCTORS If I ask for Doctor, my preferred [SL:CITY Sunnyvale ] is Sunnyvale ]"
Request Buses and indicate that your preferred destination is LAX.,[IN:GET_BUSES Request Buses and indicate that your preferred [SL:DESTINATION destination is LAX ]. ]
I like to go to Redwood City when I'm looking for movies.,[IN:GET_MOVIES I like to go to [SL:LOCATION Redwood City ] when I'm looking for movies. ]
"When I request music, I usually prefer Country as my genre.","[IN:GET_MUSIC When I request music, I usually prefer [SL:GENRE Country ] as my genre. ]"
"If I'm looking for music, I usually listen to Common Kings.","[IN:GET_MUSIC If I'm looking for music, I usually listen to [SL:ARTIST Common Kings ]. ]"
